Post,Comment,Post_Sentiment,Post_Sentiment_Score,Comment_Sentiment,Comment_Sentiment_Score
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Now that is common sense and a logical choice..But unfortunately with an ALP government who worships the climate change cult religion there is absolutely NO hope of any common sense or logical thinking.,NEGATIVE,0.6455737352371216,NEGATIVE,0.9996318817138672
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","We are so far from Renewable reliance, when Wind Turbines have to be ""Switched Off"" when the wind is too strong, and the Solar Energy Storage, is not able to sustain the Load for any significant time frame when the sun goes down.. Lets go Nuclear. It might cost more to build, but the Infrastructure is already in place, and it is Completely Clean and Reliable.!!!",NEGATIVE,0.6455737352371216,POSITIVE,0.9941529631614685
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Germany who followed the climate change agenda to the letter are in an energy crisis. They are refurbishing  coal fired energy plant's considering continuing with nuclear plants!! renewables are not reliable and do not provide base load power.  Australia needs to take note .and stop implementing this climate change madness!!,NEGATIVE,0.6455737352371216,NEGATIVE,0.999733030796051
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","You can not shut one source of power until the other one is up and running and affordable prices for everyday families. It okay for the wealthy they won’t be affected and as for climate change if they think that we can change the weather  they are living in a dream ,as long asChina and India  do nothing the rest of the world are wasting their  time and causing suffering to their people ",NEGATIVE,0.6455737352371216,POSITIVE,0.996812641620636
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Maybe when there are continuous black outs in Victoria and people are faced with continuing cost of power some of these lefty politicians will see the error of their ways.,NEGATIVE,0.6455737352371216,NEGATIVE,0.9994248151779175
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","No hope with the climate change cult worshippers we have now. When the country has no power and is destitute, they’ll just blame the previous government/ China/ Russia. We need to build new coal fired power stations, stop selling all our coal cheap overseas then invest in nuclear power.",NEGATIVE,0.6455737352371216,NEGATIVE,0.9991137385368347
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","The quickest simplest solution yes, but a long term reliable solution is nuclear.",NEGATIVE,0.6455737352371216,POSITIVE,0.768524169921875
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","100% correct. But with crazies in power, this will never happen. In fact, the ideological fools have now started on coal mines by banning a Clive Palmer project.",NEGATIVE,0.6455737352371216,NEGATIVE,0.9969262480735779
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","No, I think nuclear energy/ fusion is the most clean, efficient way forward. Nuclear energy needs to be part of the solution with Gas and clean coal. Solar and wind are not self sustainable, and unreliable for mass energy production, without impacting the environment.",NEGATIVE,0.6455737352371216,NEGATIVE,0.9242414832115173
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",So very true and easy.. Albo is brain washed by climate change so I can not see him doing the one thing that will help us all to have more reliable cheaper power ..,NEGATIVE,0.6455737352371216,NEGATIVE,0.9966721534729004
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We are in for the biggest 'i told you so'! the world has ever seen. Get back in three years snowflakes.,NEGATIVE,0.6455737352371216,POSITIVE,0.9971088767051697
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",And can we expect a common sense and logical response from the Federal Government? And the answer to that is NO. Maybe the electorate will change their tune with increasing cost of utility bills and black outs occurring because the grid cannot cope with demand.,NEGATIVE,0.6455737352371216,NEGATIVE,0.9993502497673035
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Listening to the Greens, Teals...our community is best served & will be globally the most virtuous by 100% importing wind turbines, solar panels, electric vehicles,  de-stocking our farms & reforesting them.  As a trial can ALL Green & Teals seats & it's people go first.  Nice to see how it's done.",NEGATIVE,0.6455737352371216,POSITIVE,0.9996930360794067
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Yep.  Watch the energy prices go up now under this government. Renewables are the most expensive form of energy.  Just because it comes from wind and solar doesn’t mean it’s free.  ESpecially When the wind stops and the sun goes  down or it’s cloudy. And It needs  to be stored then supplied. Nuclear will be the best way in the future as the population grows like most countries in the world.  It’s inevitable.,NEGATIVE,0.6455737352371216,NEGATIVE,0.9948370456695557
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",The small nuclear modular power plants are the future but we will need coal and gas until they are built. Wind and solar have proven themselves expensive and unreliable,NEGATIVE,0.6455737352371216,NEGATIVE,0.9982328414916992
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","It’s the only way to save the economy, and keep pace with expanding economies like China and India who are exempt from environmental protocols.",NEGATIVE,0.6455737352371216,NEGATIVE,0.9447774291038513
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Nooooo. Let’s continue to sell our highest quality coal to China,NEGATIVE,0.6455737352371216,NEGATIVE,0.9512925148010254
